No_specific_antivenom,CSL_Polyvalent_antivenom,Polyvalent_Antivenom_ICP,FAV_Afrique,Polyvalent_Snake_Antivenom,SAIMR_Polyvalent_Snake_antivenom,Polyvalent_crotalid_antivenom_CroFab,Antivipmyn,Antibotropico_crotalico_Butantan,Antibotropico_crotalico_FUNED,Antibotropico_crotalico_IVB,Antibotropico_laquetico_Butantan,Antibotropico_laquetico_FUNED,Antibotropico_laquetico_IVB,CSL_Brown_Snake_antivenom,Polyvalent_Snake_Antivenom_Razi,Antibotropico_CPPI,Antibotropico_IVB,Antibotropico_FUNED,Favirept,Antibotropico_Butantan,Antiveneno_Bothropico_Tetravalente,Neuro_polyvalent_snake_antivenom_QSMI,Antibotropico_Polivalente,CSL_Tiger_Snake_antivenom,Antiofidico_Polivalente_CDBiotecnologia,CSL_Death_Adder_antivenom,Antiveneno_Bothropico_Bivalente,Antiveneno_Bothropico_Crotalico,Antiofidico_Polivalente_Botropico_Crotalico,Antiofidico_Polivalente_Botropico_Laquetico,Polyvalent_Antisnake_Venom,Polyvalent_Snake_Antivenin_Asia,Snake_antivenin_IP_Asia,Snake_Venom_Antiserum_IP_Asia,Green_Pit_Viper_Antivenin_QSMI,Haemato_polyvalent_snake_antivenom_QSMI,Bivalent_Naja_Walterinnesia_Snake_AV,CSL_Black_Snake_antivenom,Viper_venom_antitoxin_European,Viperfav,CSL_Taipan_antivenom,Antibotropico_bivalente,Faboterapico_Polivalente_Antiviperino,Antiofidico_Polivalente_BIOL,Polyvalent_Anti_Snake_Venom,Polyvalent_Snake_Antivenom_VACSERA,Agkistrodon_Salmusa_Antivenom,Cobra_Antivenin_QSMI,Monovalent_Naja_philippinensis_Cobra_Antivenin,Viper_Venom_Antitoxin,Antiofidico_Bothropico_Polivalente,Antiofidico_Bivalente_Antibothropico,Antivipmyn_TRI,BothroFAV,Anti_viperin,Gamma_Vip,Polyvalent_Anti_viper_Venom_VACSERA,Antiofidico_Polivalente,Polyvalent_Snake_Antivenom_Asia,SAIMR_Echis_antivenom,Mamushi_Antivenom_Kaketsuken,Antielapidico_Butantan,Antielapidico_FUNED,Antiveneno_Micrurus,Antivenin_Micrurus_fulvius,Coralmyn,Antivenom_Tr_mucrosquamatus_stejnegeri,Banded_krait_antivenin_QSMI,Malayan_krait_antivenin_QSMI,Antivenom_B_multicinctus_N_n_naja,Bungarus_Antivenom,Bungarus_multicinctus_antivenin,Malayan_pit_viper_antivenin_QSMI,Anticrotalico_Butantan,Anticrotalico_FUNED,Anticrotalico_IVB,Anticrotalico_Monovalente,Antiveneno_Crotalico,SAV_Tri,Russells_viper_antivenin_QSMI,Viper_antivenin,Agkistrodon_Acutus_antivenin,Monovalent_Antivenin_Snorkel_Viper,SAIMR_Boomslang_antivenom,Agkistrodon_halys_antivenin,Antilachesico_Monovalente,Anticoral_monovalent,Naja_naja_atra_antivenom,Cobra_antivenin,SAV_Naja,King_cobra_antivenin_QSMI,Habu_antivenom,Anti_Yamakagashi_Antivenom,Anti_viper_anti_adder_venom
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
